#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/ebseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//ebseq/ebseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//ebseq/ebseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//ebseq/ebseq_package_default.db
# Output created at: 15:34:23
GeneID	log2foldchange	significance	Snf2	WT	GeneName	Description	Chromosome	Start	End	Strand
YAL011W	0.33	0	487.94	388.34	SWC3	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae 	I	132199	134076	1
YAL012W	0.28	3.45e-05	6661.73	5487.2	CYS3	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine 	I	130799	131983	1
YAL013W	0.32	1.78e-10	1462.88	1174.38	DEP1	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation 	I	129270	130487	1
YAL014C	0.26	4.63e-06	1311.11	1098.4	SYN8	Endosomal SNARE related to mammalian syntaxin 8 	I	128252	129019	-1
YAL015C	0.5	0	595.02	422.18	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress 	I	126903	128102	-1
YAL016C-A	-0.63	0.000127	19.38	30.04	YAL016C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	124755	125069	-1
YAL016C-B	0.77	7.77e-16	67.13	39.31	YAL016C-B	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	124307	124492	-1
YAL016W	-0.02	0.905	1689.37	1716.27	TPD3	Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III 	I	124879	126786	1
YAL017W	0.03	0.961	1202.54	1177.41	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status 	I	120225	124295	1
YAL018C	-0.13	0.984	2.44	2.66	YAL018C	Putative protein of unknown function 	I	118564	119541	-1
YAL019W	-0.55	1.03e-14	528.12	774.45	FUN30	Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies 	I	114919	118314	1
YAL019W-A	0.13	0.96	0.98	0.9	YAL019W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	114250	114819	1
YAL020C	0.21	0.104	520.07	450.96	ATS1	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle 	I	113614	114615	-1
YAL021C	-0.29	8.99e-15	1056.01	1295.1	CCR4	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening 	I	110846	113359	-1
YAL022C	0.12	0.787	1189.4	1096.12	FUN26	Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis 	I	108877	110430	-1
YAL023C	-0.07	0.634	3724.4	3920.7	PMT2	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal 	I	106272	108551	-1
YAL024C	0.22	2.3e-06	283.9	244.2	LTE1	Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures 	I	101565	105872	-1
YAL025C	-1.21	0	445.84	1029.37	MAK16	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus 	I	100225	101145	-1
YAL026C	-0.02	0.959	894.05	905.44	DRS2	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease 	I	95630	99697	-1
YAL026C-A	0.65	0.00504	27.96	17.78	YAL026C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2 	I	95386	95823	-1
YAL027W	-0.07	0.778	239.14	250.85	SAW1	Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus 	I	94687	95472	1
YAL028W	0.2	4.94e-06	506.08	440.07	FRT2	Tail-anchored ER membrane protein, interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate 	I	92900	94486	1
YAL029C	-0.04	0.903	1263.19	1294.77	MYO4	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p 	I	87855	92270	-1
YAL030W	0.33	1.95e-09	851.72	675.38	SNC1	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins 	I	87286	87752	1
YAL031C	0.24	6.38e-14	571.74	483.4	GIP4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate 	I	84749	87031	-1
YAL031W-A	1	1.09e-09	13.49	6.72	YAL031W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	84669	84977	1
YAL032C	0.3	0	696.23	564.19	PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene 	I	83335	84474	-1
YAL033W	-0.22	2.24e-06	237.74	277.29	POP5	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs 	I	82706	83227	1
YAL034C	0.07	0.741	608.5	577.77	FUN19	Non-essential protein of unknown function; expression induced in response to heat stress 	I	80710	81951	-1
YAL034C-B	0.02	0.882	31.34	30.88	YAL034C-B	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	79489	79842	-1
YAL034W-A	0.39	0	154.92	118.55	MTW1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly 	I	79718	80587	1
YAL035W	-0.4	0	3854.54	5079.96	FUN12	GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2 	I	76427	79435	1
YAL036C	-0.67	0	428.53	680.32	RBG1	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid 	I	75043	76152	-1
YAL037C-A	-0.56	0.225	23.09	34.04	YAL037C-A	Putative protein of unknown function 	I	73426	73518	-1
YAL037C-B	-0.39	0.433	170.81	224.03	YAL037C-B	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	72326	73300	-1
YAL037W	0.52	0	79.58	55.55	YAL037W	Putative protein of unknown function 	I	74020	74823	1
YAL038W	-1.24	0	12742.05	30000.81	CDC19	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration 	I	71786	73288	1
YAL039C	0.04	0.975	2068.03	2017.04	CYC3	Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS) 	I	68716	69525	-1
YAL040C	-0.1	0.607	790.52	849.29	CLN3	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis 	I	65778	67520	-1
YAL041W	-0.04	0.864	686.86	704.61	CDC24	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing 	I	62840	65404	1
YAL042C-A	-0.53	1	0.19	0.28	YAL042C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene 	I	61231	61608	-1
YAL042W	0.11	0.624	3935.41	3652.24	ERV46	Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport 	I	61316	62563	1
YAL043C	0.04	0.954	927.33	903.05	PTA1	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII 	I	58695	61052	-1
YAL044C	-1.07	0	776.26	1631.81	GCV3	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF 	I	57950	58462	-1
YAL044W-A	0.5	7.85e-14	64.99	45.79	YAL044W-A	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein 	I	57518	57850	1
YAL045C	0.39	0.874	3.16	2.4	YAL045C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A 	I	57488	57796	-1
YAL046C	0.04	0.923	313.42	303.88	AIM1	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss 	I	57029	57385	-1
YAL047C	0.14	0.000164	220.83	200.79	SPC72	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization 	I	54989	56857	-1
YAL047W-A	0.62	0.49	1.05	0.68	YAL047W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	54584	54913	1
YAL048C	-0.38	0	130.63	169.81	GEM1	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death 	I	52801	54789	-1
YAL049C	0.31	0	856.41	689.2	AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor 	I	51855	52595	-1
YAL051W	0.07	0.617	523.99	500.82	OAF1	Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis 	I	48564	51707	1
YAL053W	0.4	0	4619.1	3511.65	FLC2	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance 	I	45899	48250	1
YAL054C	0.59	0	457.04	303.88	ACS1	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions 	I	42881	45022	-1
YAL055W	0.3	3.84e-05	465.76	378.75	PEX22	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation 	I	42177	42719	1
YAL056C-A	0.16	0.904	4.27	3.82	YAL056C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	38696	39046	-1
YAL056W	0.29	0	1462.95	1195.16	GPB2	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p 	I	39259	41901	1
YAL058W	-0.15	0.003	258.08	285.52	CNE1	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast 	I	37464	38972	1
YAL059C-A	-1.54	1	0	0.02	YAL059C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W 	I	36496	36918	-1
YAL059W	-0.76	4.09e-11	83.93	142.44	ECM1	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm 	I	36509	37147	1
YAL060W	-0.43	8.12e-07	1354.42	1830.7	BDH1	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source 	I	35155	36303	1
YAL061W	-2.22	0	527.57	2455.88	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3 	I	33448	34701	1
YAL062W	0.19	0.00288	570.39	499.35	GDH3	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources 	I	31567	32940	1
YAL063C	0	0.951	357.18	356.18	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation 	I	24000	27968	-1
YAL063C-A	1.11	5.57e-08	8.34	3.85	YAL063C-A	Putative protein of unknown function; identified by expression profiling and mass spectrometry 	I	22395	22685	-1
YAL064C-A	-0.27	0.0503	41.45	50.05	TDA8	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene 	I	13363	13743	-1
YAL064W	1.58	0	12.61	4.22	YAL064W	Protein of unknown function; may interact with ribosomes, based on co-purification experiments 	I	21566	21850	1
YAL064W-B	-0.47	0.000214	21.31	29.49	YAL064W-B	Fungal-specific protein of unknown function 	I	12046	12426	1
YAL065C	0.07	0.891	37.82	36.14	YAL065C	Putative protein of unknown function; has homology to FLO1; possible pseudogene 	I	11565	11951	-1
YAL066W	0.74	1	0.41	0.24	YAL066W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	10091	10399	1
YAL067C	1.25	0	56.43	23.76	SEO1	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide 	I	7235	9016	-1
YAL067W-A	0.14	1	0.83	0.75	YAL067W-A	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	2480	2707	1
YAL068C	0.19	0.718	12.77	11.17	PAU8	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions 	I	1807	2169	-1
YAL068W-A	0.04	1	0.02	0.02	YAL068W-A	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	538	792	1
YAR002C-A	0.24	0	1777.62	1510.2	ERP1	Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles 	I	154065	154724	-1
YAR002W	-0.17	2.36e-05	735.14	828.9	NUP60	Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1 	I	152257	153876	1
YAR003W	0.13	1.44e-07	549.59	502.04	SWD1	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7 	I	155005	156285	1
YAR007C	0.51	0	878.59	615.24	RFA1	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination 	I	156754	158619	-1
YAR008W	0.61	0	322.77	212.19	SEN34	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease 	I	158966	159793	1
YAR009C	-2.46	0	393.87	2170.72	YAR009C	Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional 	I	160597	164187	-1
YAR010C	-0.56	0	499.47	738.3	YAR010C	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; in YARCTY1-1 TYB is mutant and probably non-functional 	I	164544	165866	-1
YAR014C	-0.14	0.000203	946.24	1040.51	BUD14	Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern 	I	166742	168871	-1
YAR015W	-1.3	0	1171.83	2882.23	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine 	I	169375	170295	1
YAR018C	0.24	9.99e-16	371.29	313.85	KIN3	Nonessential serine/threonine protein kinase; possible role in DNA damage response 	I	170396	171703	-1
YAR019C	0.2	1.62e-09	352.22	306.86	CDC15	Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II 	I	172211	175135	-1
