#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/poissonseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//poissonseq/poissonseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//poissonseq/poissonseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//poissonseq/poissonseq_package_default.db
# Output created at: 07:22:24
GeneID	log2foldchange	significance	rawPval	tt_score	GeneName	Description	Chromosome	Start	End	Strand
YPL019C	1.762	0	0	2920.6349	VTC3	Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion 	XVI	514511	517018	-1
YLR157C-B	1.7385	0	0	2883.3108	YLR157C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XII	476333	481601	-1
YDR342C	2.089	0	0	2882.208	HXT7	High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels 	IV	1154216	1155928	-1
YPR158C-D	1.7312	0	0	2865.66	YPR158C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XVI	850989	856257	-1
YJR027W	1.7038	0	0	2792.6718	YJR027W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	X	472760	478028	1
YGR027W-B	1.6955	0	0	2781.1841	YGR027W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	536057	541325	1
YDR343C	1.9436	0	0	2776.458	HXT6	High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3 	IV	1159608	1161320	-1
YLR227W-B	1.6799	0	0	2753.5439	YLR227W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XII	593438	598706	1
YDR365W-B	1.6757	0	0	2745.5003	YDR365W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	1206997	1212265	1
YCR021C	1.8337	0	0	2725.3758	HSP30	Hydrophobic plasma membrane localized, stress-responsive protein that negatively regulates the H(+)-ATPase Pma1p; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase 	III	156109	157107	-1
YKR080W	1.746	0	0	2724.2612	MTD1	NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase, plays a catalytic role in oxidation of cytoplasmic one-carbon units; expression is regulated by Bas1p and Bas2p, repressed by adenine, and may be induced by inositol and choline 	XI	590395	591357	1
YPR158W-B	1.6597	0	0	2697.1263	YPR158W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XVI	844709	849980	1
YMR120C	1.7476	0	0	2696.1452	ADE17	Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine 	XIII	507502	509280	-1
YML045W	1.6589	0	0	2691.2093	YML045W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIII	184461	189729	1
YJR029W	1.6456	0	0	2652.1313	YJR029W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	X	478344	483612	1
YMR050C	1.645	0	0	2633.6213	YMR050C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIII	373057	378325	-1
YDR316W-B	1.631	0	0	2620.9295	YDR316W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	1096064	1101332	1
YPR137C-B	1.6275	0	0	2615.7751	YPR137C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XVI	805001	810269	-1
YBR093C	1.6313	0	0	2602.704	PHO5	Repressible acid phosphatase (1 of 3) that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2 	II	429548	430951	-1
YGR038C-B	1.6153	0	0	2579.2978	YGR038C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	562199	567467	-1
YMR045C	1.6137	0	0	2574.381	YMR045C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIII	357359	362627	-1
YPR160W	1.7013	0	0	2565.9744	GPH1	Non-essential glycogen phosphorylase required for the mobilization of glycogen, activity is regulated by cyclic AMP-mediated phosphorylation, expression is regulated by stress-response elements and by the HOG MAP kinase pathway 	XVI	861306	864014	1
YLR413W	1.649	0	0	2554.0754	YLR413W	Putative protein of unknown function; YLR413W is not an essential gene 	XII	951156	953183	1
YER160C	1.5911	0	0	2510.3388	YER160C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	V	492856	498124	-1
YOR273C	1.6058	0	0	2501.4475	TPO4	Polyamine transport protein, recognizes spermine, putrescine, and spermidine; localizes to the plasma membrane; member of the major facilitator superfamily 	XV	834452	836431	-1
YOL155C	1.5985	0	0	2460.9873	HPF1	Haze-protective mannoprotein that reduces the particle size of aggregated proteins in white wines 	XV	28703	31606	-1
YER001W	1.6669	0	0	2456.9361	MNN1	Alpha-1,3-mannosyltransferase, integral membrane glycoprotein of the Golgi complex, required for addition of alpha1,3-mannose linkages to N-linked and O-linked oligosaccharides, one of five S. cerevisiae proteins of the MNN1 family 	V	153520	155808	1
YHR214C-B	1.5626	0	0	2440.5252	YHR214C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VIII	543964	549346	-1
YAL061W	1.5752	0	0	2434.4415	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3 	I	33448	34701	1
YBL005W-B	1.5608	0	0	2432.4791	YBL005W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	II	221330	226598	1
YHR092C	1.7626	0	0	2396.3984	HXT4	High-affinity glucose transporter of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose 	VIII	287081	288811	-1
YER081W	-2.1403	0	0	2389.4202	SER3	3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis; isozyme of Ser33p 	V	322686	324095	1
YKL062W	1.5609	0	0	2385.7147	MSN4	Transcriptional activator related to Msn2p; activated in stress conditions, which results in translocation from the cytoplasm to the nucleus; binds DNA at stress response elements of responsive genes, inducing gene expression 	XI	323228	325120	1
YOR142W-B	1.5356	0	0	2364.6173	YOR142W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XV	595112	600380	1
YDR098C-B	1.5245	0	0	2341.5279	YDR098C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	645858	651126	-1
YNL284C-B	1.5336	0	0	2326.2326	YNL284C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIV	96964	102232	-1
YKL109W	1.5217	0	0	2317.9015	HAP4	Subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; provides the principal activation function of the complex 	XI	232227	233891	1
YDR055W	1.516	0	0	2268.2075	PST1	Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1 	IV	563527	564861	1
YDR210C-D	1.494	0	0	2263.1829	YDR210C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	878659	883927	-1
YPR149W	1.5427	0	0	2255.1709	NCE102	Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs) 	XVI	829918	830439	1
YGR161C-D	1.4822	0	0	2224.5258	YGR161C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	817747	823015	-1
YLR035C-A	1.498	0	0	2214.3519	YLR035C-A	Retrotransposon TYA Gag and TYB Pol genes; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); YLR035C-A is part of a mutant retrotransposon 	XII	215440	218907	-1
YBR244W	1.8696	0	0	2193.524	GPX2	Phospholipid hydroperoxide glutathione peroxidase induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress 	II	707528	708016	1
YBR012W-B	1.4547	0	0	2144.3318	YBR012W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	II	259869	265140	1
YLR327C	1.5582	0	0	2136.3649	TMA10	Protein of unknown function that associates with ribosomes; putative homolog of the F1F0-ATPase synthase regulator Stf2p 	XII	783127	783387	-1
YLR258W	1.5321	0	0	2110.2161	GSY2	Glycogen synthase, similar to Gsy1p; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase 	XII	660716	662833	1
YFR055W	1.4616	0	0	2109.4087	IRC7	Beta-lyase involved in the production of thiols; null mutant displays increased levels of spontaneous Rad52p foci; expression induced by nitrogen limitation in a GLN3, GAT1-dependent manner and by copper levels in a Mac1-dependent manner 	VI	264204	265226	1
YDR406W	1.4336	0	0	2089.2822	PDR15	Plasma membrane ATP binding cassette (ABC) transporter, multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element 	IV	1279210	1283799	1
YDR019C	1.6472	0	0	2075.2299	GCV1	T subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm 	IV	484163	485365	-1
YNL054W-B	1.4049	0	0	2029.7231	YNL054W-B	TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition 	XIV	519456	524706	1
YNR034W-A	1.6489	0	0	1950.6792	YNR034W-A	Putative protein of unknown function; expression is regulated by Msn2p/Msn4p 	XIV	692561	692857	1
YDR277C	1.3843	0	0	1931.2132	MTH1	Negative regulator of the glucose-sensing signal transduction pathway, required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation 	IV	1014401	1015702	-1
YLR058C	1.4533	0	0	1870.202	SHM2	Cytosolic serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis 	XII	257992	259401	-1
YDR399W	1.3397	0	0	1866.4854	HPT1	Dimeric hypoxanthine-guanine phosphoribosyltransferase, catalyzes the formation of both inosine monophosphate and guanosine monophosphate; mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome 	IV	1270068	1270733	1
YPL095C	1.4163	0	0	1843.0783	EEB1	Acyl-coenzymeA:ethanol O-acyltransferase responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification 	XVI	368071	369441	-1
YMR006C	1.3253	0	0	1804.3872	PLB2	Phospholipase B (lysophospholipase) involved in phospholipid metabolism; displays transacylase activity in vitro; overproduction confers resistance to lysophosphatidylcholine 	XIII	277561	279681	-1
YHL047C	1.3065	0	0	1787.2725	ARN2	Transporter, member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C 	VIII	8351	10213	-1
YDR281C	2.7093	0	0	1704.0491	PHM6	Protein of unknown function, expression is regulated by phosphate levels 	IV	1022007	1022321	-1
YCL025C	1.288	0	0	1668.4306	AGP1	Low-affinity amino acid permease with broad substrate range, involved in uptake of asparagine, glutamine, and other amino acids; expression is regulated by the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p) 	III	76018	77919	-1
YOL158C	1.2581	0	0	1643.0579	ENB1	Endosomal ferric enterobactin transporter, expressed under conditions of iron deprivation; member of the major facilitator superfamily; expression is regulated by Rcs1p and affected by chloroquine treatment 	XV	19491	21311	-1
YER124C	1.2792	0	0	1611.785	DSE1	Daughter cell-specific protein, may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall 	V	407342	409063	-1
YPL025C	-2.5094	0	0	1611.5323	YPL025C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	XVI	502473	503030	-1
YFR053C	1.4191	0	0	1603.6015	HXK1	Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p 	VI	253592	255049	-1
YDR044W	1.2452	0	0	1594.0783	HEM13	Coproporphyrinogen III oxidase, an oxygen requiring enzyme that catalyzes the sixth step in the heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p) 	IV	546642	547628	1
YCL030C	1.3087	0	0	1569.4064	HIS4	Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase, phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis 	III	65934	68333	-1
YOL052C-A	1.7255	0	0	1552.1309	DDR2	Multistress response protein, expression is activated by a variety of xenobiotic agents and environmental or physiological stresses 	XV	231570	231755	-1
YIL119C	1.5392	0	0	1535.2818	RPI1	Putative transcriptional regulator; overexpression suppresses the heat shock sensitivity of wild-type RAS2 overexpression and also suppresses the cell lysis defect of an mpk1 mutation 	IX	136654	137877	-1
YHL021C	1.2476	0	0	1532.4512	AIM17	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss 	VIII	64462	65859	-1
YOL002C	1.1872	0	0	1466.2394	IZH2	Plasma membrane protein involved in zinc homeostasis and osmotin-induced apoptosis; transcription regulated by Zap1p, zinc and fatty acid levels; similar to mammalian adiponectins; deletion increases sensitivity to elevated zinc 	XV	323411	324364	-1
YGL028C	1.1988	0	0	1456.1514	SCW11	Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p 	VII	441281	442909	-1
YER037W	1.3443	0	0	1415.8973	PHM8	Lysophosphatidic acid (LPA) phosphatase involved in LPA hydrolysis in response to phosphate starvation; phosphatase activity is soluble and Mg2+ dependent; expression is induced by low phosphate levels and by inactivation of Pho85p 	V	225889	226854	1
YGR051C	-1.6945	0	0	1411.986	YGR051C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YGR051C is not an essential gene 	VII	592906	593229	-1
YNR053C	1.336	0	0	1364.262	NOG2	Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation 	XIV	721120	723112	-1
YMR056C	-1.3677	0	0	1363.8488	AAC1	Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator 	XIII	387315	388244	-1
YOR178C	1.196	0	0	1362.8337	GAC1	Regulatory subunit for Glc7p type-1 protein phosphatase (PP1), tethers Glc7p to Gsy2p glycogen synthase, binds Hsf1p heat shock transcription factor, required for induction of some HSF-regulated genes under heat shock 	XV	667860	670241	-1
YOL136C	1.1444	0	0	1306.8855	PFK27	6-phosphofructo-2-kinase, catalyzes synthesis of fructose-2,6-bisphosphate; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate, expression induced by glucose and sucrose, transcriptional regulation involves protein kinase A 	XV	67561	68754	-1
YMR008C	1.1294	0	0	1295.8996	PLB1	Phospholipase B (lysophospholipase) involved in lipid metabolism, required for deacylation of phosphatidylcholine and phosphatidylethanolamine but not phosphatidylinositol 	XIII	280590	282584	-1
YKR039W	-1.2262	0	0	1287.5628	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed 	XI	515063	516871	1
YOR348C	-1.5114	0	0	1270.398	PUT4	Proline permease, required for high-affinity transport of proline; also transports the toxic proline analog azetidine-2-carboxylate (AzC); PUT4 transcription is repressed in ammonia-grown cells 	XV	986899	988782	-1
YBR238C	1.2899	0	0	1268.614	YBR238C	Mitochondrial membrane protein with similarity to Rmd9p; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span 	II	695107	697302	-1
YBR054W	1.3587	0	0	1258.5784	YRO2	Protein of unknown function with similarity to archaeal rhodopsins; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; transcriptionally regulated by Haa1p 	II	343101	344135	1
YMR173W	1.3875	0	0	1245.1336	DDR48	DNA damage-responsive protein, expression is increased in response to heat-shock stress or treatments that produce DNA lesions; contains multiple repeats of the amino acid sequence NNNDSYGS 	XIII	608689	609981	1
YPL093W	1.0803	0	0	1223.2251	NOG1	Putative GTPase that associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins 	XVI	370978	372921	1
YMR195W	1.0776	0	0	1198.3564	ICY1	Protein of unknown function, required for viability in rich media of cells lacking mitochondrial DNA; mutants have an invasive growth defect with elongated morphology; induced by amino acid starvation 	XIII	654034	654417	1
YGL255W	1.0613	0	0	1185.0505	ZRT1	High-affinity zinc transporter of the plasma membrane, responsible for the majority of zinc uptake; transcription is induced under low-zinc conditions by the Zap1p transcription factor 	VII	20978	22108	1
YNL217W	1.045	0	0	1184.119	YNL217W	Putative protein of unknown function; weak sequence similarity to bis (5'-nucleotidyl)-tetraphosphatases; (GFP)-fusion protein localizes to the vacuole; null mutant is highly sensitive to azaserine and resistant to sodium-O-vandate 	XIV	240331	241311	1
