#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/edgeR.R /cluster/gjb_lab/pschofield/scratch/NOBACK//edgeR/edgeR_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//edgeR/edgeR_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//edgeR/edgeR_package_default.db
# Output created at: 07:06:59
GeneID	log2foldchange	significance	Snf2	WT	GeneName	Description	Chromosome	Start	End	Strand
YAL007C	-0.26	2.72e-21	141.75	118.58	ERP2	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles 	I	137698	138345	-1
YAL008W	-0.22	4.85e-06	57.39	49.44	FUN14	Mitochondrial protein of unknown function 	I	136914	137510	1
YAL009W	-0.25	3.35e-20	45.71	38.24	SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation 	I	135854	136633	1
YAL010C	-0.1	0.00906	41.36	38.72	MDM10	Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins 	I	134184	135665	-1
YAL011W	-0.33	1.25e-25	56.91	45.05	SWC3	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae 	I	132199	134076	1
YAL012W	-0.29	6.17e-09	776.65	635.97	CYS3	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine 	I	130799	131983	1
YAL013W	-0.33	2.66e-13	170.63	136.12	DEP1	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation 	I	129270	130487	1
YAL014C	-0.27	3.62e-08	152.92	127.29	SYN8	Endosomal SNARE related to mammalian syntaxin 8 	I	128252	129019	-1
YAL015C	-0.51	3.74e-51	69.41	48.94	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress 	I	126903	128102	-1
YAL016C-A	0.61	2e-06	2.26	3.48	YAL016C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	124755	125069	-1
YAL016C-B	-0.78	5.91e-18	7.83	4.56	YAL016C-B	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	124307	124492	-1
YAL016W	0.02	0.488	197.05	199.06	TPD3	Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III 	I	124879	126786	1
YAL017W	-0.04	0.384	140.28	136.58	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status 	I	120225	124295	1
YAL018C	0.1	0.672	0.28	0.31	YAL018C	Putative protein of unknown function 	I	118564	119541	-1
YAL019W	0.55	6.47e-17	61.55	89.87	FUN30	Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies 	I	114919	118314	1
YAL019W-A	0.01	0.921	0.11	0.1	YAL019W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	114250	114819	1
YAL020C	-0.21	0.000372	60.65	52.26	ATS1	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle 	I	113614	114615	-1
YAL021C	0.29	2.75e-15	123.18	150.13	CCR4	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening 	I	110846	113359	-1
YAL022C	-0.13	0.0209	138.73	127.04	FUN26	Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis 	I	108877	110430	-1
YAL023C	0.07	0.0557	434.33	454.62	PMT2	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal 	I	106272	108551	-1
YAL024C	-0.22	5.29e-08	33.11	28.34	LTE1	Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures 	I	101565	105872	-1
YAL025C	1.2	8.37e-40	51.95	119.45	MAK16	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus 	I	100225	101145	-1
YAL026C	0.01	0.764	104.26	105.05	DRS2	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease 	I	95630	99697	-1
YAL026C-A	-0.64	0.00011	3.26	2.07	YAL026C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2 	I	95386	95823	-1
YAL027W	0.06	0.0921	27.9	29.09	SAW1	Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus 	I	94687	95472	1
YAL028W	-0.21	7.45e-07	59.05	51.02	FRT2	Tail-anchored ER membrane protein, interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate 	I	92900	94486	1
YAL029C	0.03	0.443	147.29	150.24	MYO4	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p 	I	87855	92270	-1
YAL030W	-0.35	5.16e-10	99.36	78.27	SNC1	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins 	I	87286	87752	1
YAL031C	-0.25	1.43e-14	66.71	56.06	GIP4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate 	I	84749	87031	-1
YAL031W-A	-1	2.6e-11	1.57	0.78	YAL031W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	84669	84977	1
YAL032C	-0.31	1.32e-18	81.21	65.4	PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene 	I	83335	84474	-1
YAL033W	0.21	5.32e-08	27.73	32.15	POP5	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs 	I	82706	83227	1
YAL034C	-0.08	0.0585	71	67	FUN19	Non-essential protein of unknown function; expression induced in response to heat stress 	I	80710	81951	-1
YAL034C-B	-0.02	0.887	3.65	3.59	YAL034C-B	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	79489	79842	-1
YAL034W-A	-0.39	8.32e-24	18.07	13.75	MTW1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly 	I	79718	80587	1
YAL035W	0.39	6.45e-19	449.38	589.21	FUN12	GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2 	I	76427	79435	1
YAL036C	0.66	3.32e-23	49.94	78.92	RBG1	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid 	I	75043	76152	-1
YAL037C-A	0.56	0.0223	2.69	3.96	YAL037C-A	Putative protein of unknown function 	I	73426	73518	-1
YAL037C-B	0.39	0.0466	19.91	26.04	YAL037C-B	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	72326	73300	-1
YAL037W	-0.51	3.62e-17	9.28	6.45	YAL037W	Putative protein of unknown function 	I	74020	74823	1
YAL038W	1.23	2.28e-73	1485.64	3476.04	CDC19	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration 	I	71786	73288	1
YAL039C	-0.05	0.465	241.23	233.71	CYC3	Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS) 	I	68716	69525	-1
YAL040C	0.1	0.108	92.18	98.58	CLN3	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis 	I	65778	67520	-1
YAL041W	0.03	0.311	80.11	81.73	CDC24	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing 	I	62840	65404	1
YAL042C-A	0.2	0.747	0.02	0.03	YAL042C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene 	I	61231	61608	-1
YAL042W	-0.12	0.00587	459.01	423.34	ERV46	Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport 	I	61316	62563	1
YAL043C	-0.05	0.275	108.16	104.69	PTA1	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII 	I	58695	61052	-1
YAL044C	1.06	1.1e-50	90.54	189	GCV3	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF 	I	57950	58462	-1
YAL044W-A	-0.51	7.65e-16	7.58	5.31	YAL044W-A	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein 	I	57518	57850	1
YAL045C	-0.43	0.0544	0.37	0.28	YAL045C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A 	I	57488	57796	-1
YAL046C	-0.06	0.415	36.56	35.2	AIM1	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss 	I	57029	57385	-1
YAL047C	-0.15	1.42e-05	25.76	23.29	SPC72	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization 	I	54989	56857	-1
YAL047W-A	-0.65	0.0908	0.12	0.08	YAL047W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	54584	54913	1
YAL048C	0.37	2.64e-20	15.24	19.69	GEM1	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death 	I	52801	54789	-1
YAL049C	-0.32	7.89e-25	99.89	79.9	AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor 	I	51855	52595	-1
YAL051W	-0.07	0.0149	61.12	58.11	OAF1	Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis 	I	48564	51707	1
YAL053W	-0.4	6.11e-25	538.79	407.05	FLC2	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance 	I	45899	48250	1
YAL054C	-0.6	1.25e-27	53.33	35.22	ACS1	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions 	I	42881	45022	-1
YAL055W	-0.31	1.05e-06	54.33	43.88	PEX22	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation 	I	42177	42719	1
YAL056C-A	-0.15	0.467	0.5	0.44	YAL056C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	38696	39046	-1
YAL056W	-0.3	8.74e-35	170.63	138.61	GPB2	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p 	I	39259	41901	1
YAL058W	0.14	0.000417	30.1	33.11	CNE1	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast 	I	37464	38972	1
YAL059C-A	0.29	0.98	0	0	YAL059C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W 	I	36496	36918	-1
YAL059W	0.76	6.72e-14	9.79	16.54	ECM1	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm 	I	36509	37147	1
YAL060W	0.42	2.41e-11	158.04	212.1	BDH1	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source 	I	35155	36303	1
YAL061W	2.21	4.15e-237	61.55	284.5	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3 	I	33448	34701	1
YAL062W	-0.2	3.03e-05	66.54	57.87	GDH3	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources 	I	31567	32940	1
YAL063C	-0.01	0.813	41.67	41.28	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation 	I	24000	27968	-1
YAL063C-A	-1.07	1.8e-10	0.97	0.45	YAL063C-A	Putative protein of unknown function; identified by expression profiling and mass spectrometry 	I	22395	22685	-1
YAL064C-A	0.26	0.0024	4.84	5.8	TDA8	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene 	I	13363	13743	-1
YAL064W	-1.56	2e-34	1.47	0.49	YAL064W	Protein of unknown function; may interact with ribosomes, based on co-purification experiments 	I	21566	21850	1
YAL064W-B	0.44	8.5e-07	2.49	3.42	YAL064W-B	Fungal-specific protein of unknown function 	I	12046	12426	1
YAL065C	-0.08	0.317	4.41	4.19	YAL065C	Putative protein of unknown function; has homology to FLO1; possible pseudogene 	I	11565	11951	-1
YAL066W	-0.63	0.215	0.05	0.03	YAL066W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	10091	10399	1
YAL067C	-1.25	9.25e-47	6.58	2.75	SEO1	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide 	I	7235	9016	-1
YAL067W-A	-0.14	0.797	0.1	0.09	YAL067W-A	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	2480	2707	1
YAL068C	-0.22	0.076	1.49	1.29	PAU8	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions 	I	1807	2169	-1
YAL068W-A	0.07	1	0	0	YAL068W-A	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	538	792	1
YAR002C-A	-0.24	2.75e-21	207.31	175.14	ERP1	Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles 	I	154065	154724	-1
YAR002W	0.17	1.37e-05	85.73	96.18	NUP60	Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1 	I	152257	153876	1
YAR003W	-0.14	7.09e-08	64.1	58.22	SWD1	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7 	I	155005	156285	1
YAR007C	-0.52	5.8e-68	102.49	71.34	RFA1	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination 	I	156754	158619	-1
YAR008W	-0.61	4.47e-83	37.64	24.61	SEN34	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease 	I	158966	159793	1
YAR009C	2.45	0	45.93	251.81	YAR009C	Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional 	I	160597	164187	-1
YAR010C	0.56	8.83e-59	58.26	85.61	YAR010C	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; in YARCTY1-1 TYB is mutant and probably non-functional 	I	164544	165866	-1
YAR014C	0.13	7.7e-05	110.36	120.68	BUD14	Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern 	I	166742	168871	-1
YAR015W	1.29	5.26e-54	136.67	333.83	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine 	I	169375	170295	1
YAR018C	-0.25	3.95e-15	43.31	36.4	KIN3	Nonessential serine/threonine protein kinase; possible role in DNA damage response 	I	170396	171703	-1
