#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/deseq2.R /cluster/gjb_lab/pschofield/scratch/NOBACK//deseq2/deseq2_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//deseq2/deseq2_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//deseq2/deseq2_package_default.db
# Output created at: 07:04:09
GeneID	log2foldchange	significance	WT	Snf2	GeneName	Description	Chromosome	Start	End	Strand
Q0065	-0.5	0.28	0.33	0.18	AI4	Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity 	Mito	13818	21935	1
Q0070	0	0.989	0.03	0.04	AI5_ALPHA	Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene 	Mito	13818	23167	1
Q0075	-0.6	0.182	0.19	0.06	AI5_BETA	Protein of unknown function, encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG 	Mito	24156	25255	1
Q0085	0.25	0.581	0.56	0.69	ATP6	Mitochondrially encoded subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase 	Mito	28487	29266	1
Q0105	0.4	0.347	0.59	0.79	COB	Cytochrome b, mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p 	Mito	36540	43647	1
Q0110	-0.03	0.956	0.08	0.08	BI2	Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA 	Mito	36540	38579	1
Q0120	0.77	0.0876	0.14	0.38	BI4	Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA 	Mito	36540	42251	1
Q0130	0.38	0.172	3.16	4.17	OLI1	F0-ATP synthase subunit c (ATPase-associated proteolipid), encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2 	Mito	46723	46953	1
Q0160	-0.23	0.55	1.51	1.21	SCEI	I-SceI DNA endonuclease, encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene 	Mito	61022	61729	1
Q0250	0.06	0.872	1.55	1.58	COX2	Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	73758	74513	1
Q0255	0.37	0.368	0.02	0.13	Q0255	Maturase-like protein 	Mito	74495	75984	1
Q0275	-0.2	0.632	1.81	1.48	COX3	Subunit III of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	79213	80022	1
RDN5-1	-0.06	0.814	92.52	88.12	RDN5-1	5S ribosomal RNA (5S rRNA); only complete sequence of 6 repeated RDN5 alleles; able to support viability when provided as sole form of 5S rRNA; component of the large (60S) ribosomal subunit; localized to the nucleolus via interaction with Rpl5p; ma /.../ a role in translational frame fidelity; transcription is mediated by PolIII and activated by TFIIIA and TFIIIE 	XII	459676	459796	1
RDN5-2	-0.34	0.0776	4.86	3.73	RDN5-2	Variant 5S ribosomal rRNA (5S rRNA) gene; located within the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-3, RDN5-4, and RDN5-5 	XII	468813	468931	1
RDN5-6	0.03	0.93	44.31	45.18	RDN5-6	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus 	XII	489349	489469	1
RNA170	0.5	8.69e-08	13.01	18.33	RNA170	RNA polymerase III transcribed RNA of unknown function, conserved in other yeast species 	XIII	667288	667456	-1
RPR1	-1.27	1.31e-16	80.73	32.39	RPR1	RNA component of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; may be responsible for recognition of substrate tRNAs 	V	117667	118035	-1
RUF20	0.18	0.0649	120.92	136.92	RUF20	RNA of Unknown Function 	VI	131061	131503	-1
RUF21	0.26	0.294	36	43.85	RUF21	RNA of Unknown Function 	VI	57815	58521	-1
RUF22	-0.51	0.278	0.21	0.12	RUF22	RNA of Unknown Function; precise location of 3' end uncertain; RUF22 may be longer than currently annotated 	VI	199299	199813	-1
RUF23	0.4	0.00169	6.87	8.92	RUF23	RNA of Unknown Function; precise location of 3' end uncertain; RUF23 may be longer than currently annotated 	VI	221714	221967	1
RUF5-1	-0.18	0.0553	343.68	302.63	RUF5-1	RNA of Unknown Function 	VIII	212409	213118	1
RUF5-2	-0.19	0.0579	224.48	197.05	RUF5-2	RNA of Unknown Function 	VIII	214407	215116	1
SCR1	-0.29	0.319	534.11	425.23	SCR1	RNA subunit of the Signal Recognition Particle (SRP) 	V	441987	442508	1
SRG1	-1.21	1.39e-59	278.88	119.44	SRG1	Non-protein-coding RNA that regulates the transcription of SER3; expression of SRG1 RNA represses expression of its neighboring gene SER3 via a transcription-interference mechanism 	V	322212	322762	1
TLC1	0.2	8.23e-07	1430.61	1647.38	TLC1	TLC1 RNA contains a template sequence that Est2p uses to add irregular repeats of TG(1-3) residues onto a DNA end; RNA template component of telomerase 	II	307587	308887	1
YAL001C	0.37	1.35e-21	493.76	637.11	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding 	I	147594	151166	-1
YAL002W	-0.14	0.000203	515.01	466.56	VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif 	I	143707	147531	1
YAL003W	-0.87	6.15e-88	11336.94	6205.68	EFB1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site 	I	142174	143160	1
YAL005C	-0.74	4.71e-36	14971.33	8936.43	SSA1	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identi /.../th Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes 	I	139503	141431	-1
YAL007C	0.25	1.73e-22	1022.44	1215.54	ERP2	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles 	I	137698	138345	-1
YAL008W	0.21	1.01e-05	426.44	491.88	FUN14	Mitochondrial protein of unknown function 	I	136914	137510	1
YAL009W	0.24	1.03e-23	329.62	391.92	SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation 	I	135854	136633	1
YAL010C	0.09	0.00981	333.71	354.56	MDM10	Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins 	I	134184	135665	-1
YAL011W	0.33	6.01e-27	388.34	487.94	SWC3	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae 	I	132199	134076	1
YAL012W	0.28	3.81e-08	5487.2	6661.73	CYS3	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine 	I	130799	131983	1
YAL013W	0.32	2.12e-12	1174.38	1462.88	DEP1	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation 	I	129270	130487	1
YAL014C	0.26	1.78e-07	1098.4	1311.11	SYN8	Endosomal SNARE related to mammalian syntaxin 8 	I	128252	129019	-1
YAL015C	0.5	9.03e-54	422.18	595.02	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress 	I	126903	128102	-1
YAL016C-A	-0.61	1.82e-06	30.04	19.38	YAL016C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	124755	125069	-1
YAL016C-B	0.76	1.16e-17	39.31	67.13	YAL016C-B	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	124307	124492	-1
YAL016W	-0.02	0.104	1716.27	1689.37	TPD3	Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III 	I	124879	126786	1
YAL017W	0.03	0.486	1177.41	1202.54	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status 	I	120225	124295	1
YAL018C	-0.11	0.633	2.66	2.44	YAL018C	Putative protein of unknown function 	I	118564	119541	-1
YAL019W	-0.55	1.36e-16	774.45	528.12	FUN30	Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies 	I	114919	118314	1
YAL019W-A	0.01	0.986	0.9	0.98	YAL019W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	114250	114819	1
YAL020C	0.2	0.000892	450.96	520.07	ATS1	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle 	I	113614	114615	-1
YAL021C	-0.29	1.78e-16	1295.1	1056.01	CCR4	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening 	I	110846	113359	-1
YAL022C	0.12	0.0364	1096.12	1189.4	FUN26	Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis 	I	108877	110430	-1
YAL023C	-0.07	0.0256	3920.7	3724.4	PMT2	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal 	I	106272	108551	-1
YAL024C	0.21	4.93e-08	244.2	283.9	LTE1	Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures 	I	101565	105872	-1
YAL025C	-1.19	8.73e-39	1029.37	445.84	MAK16	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus 	I	100225	101145	-1
YAL026C	-0.02	0.573	905.44	894.05	DRS2	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease 	I	95630	99697	-1
YAL026C-A	0.62	0.000151	17.78	27.96	YAL026C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2 	I	95386	95823	-1
YAL027W	-0.07	0.0467	250.85	239.14	SAW1	Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus 	I	94687	95472	1
YAL028W	0.2	1.37e-06	440.07	506.08	FRT2	Tail-anchored ER membrane protein, interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate 	I	92900	94486	1
YAL029C	-0.04	0.3	1294.77	1263.19	MYO4	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p 	I	87855	92270	-1
YAL030W	0.33	2.9e-09	675.38	851.72	SNC1	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins 	I	87286	87752	1
YAL031C	0.24	1.64e-15	483.4	571.74	GIP4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate 	I	84749	87031	-1
YAL031W-A	0.97	5.33e-11	6.72	13.49	YAL031W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	84669	84977	1
YAL032C	0.3	2.48e-18	564.19	696.23	PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene 	I	83335	84474	-1
YAL033W	-0.22	7.8e-09	277.29	237.74	POP5	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs 	I	82706	83227	1
YAL034C	0.08	0.086	577.77	608.5	FUN19	Non-essential protein of unknown function; expression induced in response to heat stress 	I	80710	81951	-1
YAL034C-B	0.01	0.947	30.88	31.34	YAL034C-B	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	79489	79842	-1
YAL034W-A	0.38	1.73e-26	118.55	154.92	MTW1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly 	I	79718	80587	1
YAL035W	-0.4	3.18e-19	5079.96	3854.54	FUN12	GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2 	I	76427	79435	1
YAL036C	-0.66	1.36e-22	680.32	428.53	RBG1	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid 	I	75043	76152	-1
YAL037C-A	-0.52	0.0315	34.04	23.09	YAL037C-A	Putative protein of unknown function 	I	73426	73518	-1
YAL037C-B	-0.37	0.0587	224.03	170.81	YAL037C-B	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	72326	73300	-1
YAL037W	0.5	1.23e-17	55.55	79.58	YAL037W	Putative protein of unknown function 	I	74020	74823	1
YAL038W	-1.23	6.57e-71	30000.81	12742.05	CDC19	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration 	I	71786	73288	1
YAL039C	0.04	0.577	2017.04	2068.03	CYC3	Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS) 	I	68716	69525	-1
YAL040C	-0.1	0.0856	849.29	790.52	CLN3	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis 	I	65778	67520	-1
YAL041W	-0.04	0.131	704.61	686.86	CDC24	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing 	I	62840	65404	1
YAL042C-A	-0.21	0.663	0.28	0.19	YAL042C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene 	I	61231	61608	-1
YAL042W	0.11	0.0119	3652.24	3935.41	ERV46	Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport 	I	61316	62563	1
YAL043C	0.04	0.381	903.05	927.33	PTA1	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII 	I	58695	61052	-1
YAL044C	-1.06	5.86e-49	1631.81	776.26	GCV3	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF 	I	57950	58462	-1
YAL044W-A	0.51	2.03e-15	45.79	64.99	YAL044W-A	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein 	I	57518	57850	1
YAL045C	0.41	0.0587	2.4	3.16	YAL045C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A 	I	57488	57796	-1
YAL046C	0.05	0.507	303.88	313.42	AIM1	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss 	I	57029	57385	-1
YAL047C	0.14	7.4e-06	200.79	220.83	SPC72	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization 	I	54989	56857	-1
YAL047W-A	0.58	0.118	0.68	1.05	YAL047W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	54584	54913	1
YAL048C	-0.38	9.11e-23	169.81	130.63	GEM1	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death 	I	52801	54789	-1
YAL049C	0.31	1.34e-25	689.2	856.41	AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor 	I	51855	52595	-1
YAL051W	0.06	0.0161	500.82	523.99	OAF1	Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis 	I	48564	51707	1
YAL053W	0.39	4.9e-24	3511.65	4619.1	FLC2	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance 	I	45899	48250	1
YAL054C	0.59	2.06e-26	303.88	457.04	ACS1	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions 	I	42881	45022	-1
YAL055W	0.3	4.06e-06	378.75	465.76	PEX22	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation 	I	42177	42719	1
YAL056C-A	0.14	0.499	3.82	4.27	YAL056C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	38696	39046	-1
YAL056W	0.29	6.44e-43	1195.16	1462.95	GPB2	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p 	I	39259	41901	1
YAL058W	-0.15	0.000127	285.52	258.08	CNE1	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast 	I	37464	38972	1
YAL059C-A	-0.05	0.847	0.02	0	YAL059C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W 	I	36496	36918	-1
YAL059W	-0.75	6.6e-14	142.44	83.93	ECM1	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm 	I	36509	37147	1
YAL060W	-0.43	2.75e-11	1830.7	1354.42	BDH1	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source 	I	35155	36303	1
YAL061W	-2.21	3.62e-240	2455.88	527.57	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3 	I	33448	34701	1
YAL062W	0.19	7.84e-05	499.35	570.39	GDH3	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources 	I	31567	32940	1
YAL063C	0.01	0.928	356.18	357.18	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation 	I	24000	27968	-1
YAL063C-A	1.04	1.04e-09	3.85	8.34	YAL063C-A	Putative protein of unknown function; identified by expression profiling and mass spectrometry 	I	22395	22685	-1
YAL064C-A	-0.27	0.00158	50.05	41.45	TDA8	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene 	I	13363	13743	-1
YAL064W	1.54	2.66e-29	4.22	12.61	YAL064W	Protein of unknown function; may interact with ribosomes, based on co-purification experiments 	I	21566	21850	1
YAL064W-B	-0.45	6.73e-07	29.49	21.31	YAL064W-B	Fungal-specific protein of unknown function 	I	12046	12426	1
YAL065C	0.08	0.328	36.14	37.82	YAL065C	Putative protein of unknown function; has homology to FLO1; possible pseudogene 	I	11565	11951	-1
YAL066W	0.55	0.219	0.24	0.41	YAL066W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	10091	10399	1
YAL067C	1.23	1.74e-44	23.76	56.43	SEO1	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide 	I	7235	9016	-1
YAL067W-A	0.12	0.744	0.75	0.83	YAL067W-A	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	2480	2707	1
YAL068C	0.21	0.0759	11.17	12.77	PAU8	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions 	I	1807	2169	-1
YAL068W-A	-0.04	0.899	0.02	0.02	YAL068W-A	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	538	792	1
YAR002C-A	0.24	1.14e-23	1510.2	1777.62	ERP1	Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles 	I	154065	154724	-1
YAR002W	-0.17	2.51e-06	828.9	735.14	NUP60	Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1 	I	152257	153876	1
YAR003W	0.13	1.47e-08	502.04	549.59	SWD1	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7 	I	155005	156285	1
YAR007C	0.52	4.55e-76	615.24	878.59	RFA1	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination 	I	156754	158619	-1
YAR008W	0.6	4.63e-91	212.19	322.77	SEN34	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease 	I	158966	159793	1
YAR009C	-2.46	0	2170.72	393.87	YAR009C	Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional 	I	160597	164187	-1
YAR010C	-0.56	2.39e-63	738.3	499.47	YAR010C	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; in YARCTY1-1 TYB is mutant and probably non-functional 	I	164544	165866	-1
YAR014C	-0.14	1.03e-05	1040.51	946.24	BUD14	Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern 	I	166742	168871	-1
YAR015W	-1.29	9.16e-53	2882.23	1171.83	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine 	I	169375	170295	1
