#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/samseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default.db
# Output created at: 07:24:50
GeneID	log2foldchange	significance	Score	GeneName	Description	Chromosome	Start	End	Strand
YAL027W	0.04958681695639	0.178232389251997	83.8	SAW1	Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus 	I	94687	95472	1
YAL028W	-0.0925367018642147	0.0182026143790849	-164.15	FRT2	Tail-anchored ER membrane protein, interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate 	I	92900	94486	1
YAL029C	0.057520250377916	0.0882164124909223	110.1	MYO4	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p 	I	87855	92270	-1
YAL030W	-0.137656601993471	0.000161220043572937	-353.55	SNC1	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins 	I	87286	87752	1
YAL031C	-0.0739866389698171	0.00299782135076257	-230.65	GIP4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate 	I	84749	87031	-1
YAL031W-A	-0.484775745191508	0.000249818445896914	-326.75	YAL031W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	84669	84977	1
YAL032C	-0.141758276654268	0.00139433551198262	-262.85	PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene 	I	83335	84474	-1
YAL033W	0.146017648179391	0.00400290486565002	218.25	POP5	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs 	I	82706	83227	1
YAL034C	-0.019616752652802	0.81619244734931	-13.65	FUN19	Non-essential protein of unknown function; expression induced in response to heat stress 	I	80710	81951	-1
YAL034C-B	-0.119526956099993	0.534668845315904	36.85	YAL034C-B	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	79489	79842	-1
YAL034W-A	-0.179472771325172	0.00296877269426283	-231.1	MTW1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly 	I	79718	80587	1
YAL035W	0.260742775501505	0.000145243282498184	585.15	FUN12	GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2 	I	76427	79435	1
YAL036C	0.419420731062597	0.000145243282498184	587.25	RBG1	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid 	I	75043	76152	-1
YAL037C-A	0.147903210986696	0.0447392883079157	133.95	YAL037C-A	Putative protein of unknown function 	I	73426	73518	-1
YAL037C-B	0.3561030424922	0.00375453885257812	221	YAL037C-B	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	72326	73300	-1
YAL037W	-0.22007585134053	0.000823529411764716	-285.6	YAL037W	Putative protein of unknown function 	I	74020	74823	1
YAL038W	0.596954145534562	0.000145243282498184	896.15	CDC19	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration 	I	71786	73288	1
YAL039C	0.00329901510525788	0.899306463326071	-7.4	CYC3	Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS) 	I	68716	69525	-1
YAL040C	0.107611455213742	0.0282708787218592	149.5	CLN3	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis 	I	65778	67520	-1
YAL041W	0.0536078254305058	0.0576368917937545	125.2	CDC24	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing 	I	62840	65404	1
YAL042C-A	0.00168713532538247	0.0834887436456064	112.1	YAL042C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene 	I	61231	61608	-1
YAL042W	-0.0325770665528731	0.112599128540305	-101.15	ERV46	Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport 	I	61316	62563	1
YAL043C	0.00314935460611536	0.836941902687001	12.05	PTA1	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII 	I	58695	61052	-1
YAL044C	0.507854944976803	0.000145243282498184	798.55	GCV3	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF 	I	57950	58462	-1
YAL044W-A	-0.201378878280172	0.000210602759622341	-335.55	YAL044W-A	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein 	I	57518	57850	1
YAL045C	-0.409579490807792	0.092443718228032	-108.35	YAL045C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A 	I	57488	57796	-1
YAL046C	-0.00333234241867632	0.695785039941903	-23	AIM1	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss 	I	57029	57385	-1
YAL047C	-0.0492825486673205	0.162009440813362	-87.5	SPC72	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization 	I	54989	56857	-1
YAL047W-A	-0.0111388954367817	0.176607116920842	-84.15	YAL047W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	54584	54913	1
YAL048C	0.180726961110107	0.000270152505446576	323.75	GEM1	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death 	I	52801	54789	-1
YAL049C	-0.148695076078162	0.000689905591866376	-292.5	AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor 	I	51855	52595	-1
YAL051W	-0.0216098452830869	0.637256354393609	-27.8	OAF1	Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis 	I	48564	51707	1
YAL053W	-0.16885437242486	0.000145243282498184	-527.45	FLC2	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance 	I	45899	48250	1
YAL054C	-0.245997135056186	0.000145243282498184	-456.3	ACS1	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions 	I	42881	45022	-1
YAL055W	-0.177361727483096	0.00312563543936099	-228.7	PEX22	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation 	I	42177	42719	1
YAL056C-A	-0.000752146071051079	0.210266521423384	-77.4	YAL056C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	38696	39046	-1
YAL056W	-0.109712706442612	0.000323892519970888	-316.85	GPB2	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p 	I	39259	41901	1
YAL058W	0.0923994920517271	0.00773420479302832	193.35	CNE1	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast 	I	37464	38972	1
YAL059C-A	0.0012193400437862	0.296332607116921	63.5	YAL059C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W 	I	36496	36918	-1
YAL059W	0.419336922422215	0.000145243282498184	428	ECM1	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm 	I	36509	37147	1
YAL060W	0.182007463618435	0.000145243282498184	468.15	BDH1	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source 	I	35155	36303	1
YAL061W	1.09361305985115	0.000145243282498184	901.6	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3 	I	33448	34701	1
YAL062W	-0.0955135196617888	0.0117175018155411	-178.9	GDH3	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources 	I	31567	32940	1
YAL063C	0.000461739989219203	0.539951343500363	36.35	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation 	I	24000	27968	-1
YAL063C-A	-0.584629438395137	0.000146695715323198	-390.7	YAL063C-A	Putative protein of unknown function; identified by expression profiling and mass spectrometry 	I	22395	22685	-1
YAL064C-A	0.162941174687214	0.00758678286129262	194	TDA8	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene 	I	13363	13743	-1
YAL064W	-0.803878219784508	0.000145243282498184	-494.3	YAL064W	Protein of unknown function; may interact with ribosomes, based on co-purification experiments 	I	21566	21850	1
YAL064W-B	0.277534360116252	0.00255773420479298	237.45	YAL064W-B	Fungal-specific protein of unknown function 	I	12046	12426	1
YAL065C	-0.00754915550714779	0.852289034132171	-10.9	YAL065C	Putative protein of unknown function; has homology to FLO1; possible pseudogene 	I	11565	11951	-1
YAL066W	-0.00145788024185655	0.624261437908497	-28.9	YAL066W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	10091	10399	1
YAL067C	-0.584509687077698	0.000145243282498184	-594.5	SEO1	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide 	I	7235	9016	-1
YAL067W-A	-0.00905015933666946	0.652116920842411	26.55	YAL067W-A	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	2480	2707	1
YAL068C	-0.212404432384278	0.614418300653595	-29.75	PAU8	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions 	I	1807	2169	-1
YAL068W-A	2.86409552249051e-05	0.490851125635439	41	YAL068W-A	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching 	I	538	792	1
YAR002C-A	-0.08878106422916	0.00244662309368195	-239.5	ERP1	Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles 	I	154065	154724	-1
YAR002W	0.109951965227596	0.00684386347131444	197.5	NUP60	Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1 	I	152257	153876	1
YAR003W	-0.0375512293976313	0.245644880174292	-71.2	SWD1	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7 	I	155005	156285	1
YAR007C	-0.238620632528695	0.000145243282498184	-528.7	RFA1	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination 	I	156754	158619	-1
YAR008W	-0.301504110662185	0.000145243282498184	-496.55	SEN34	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease 	I	158966	159793	1
